BEST_INDEX=1

================================================================================
SAMPLE 0
CORRECT=True
CRITIC_CORRECT=False
EXTRACTED=A
TOKENS=1038
MESSAGE=Critic verdict: INCORRECT | Correct: option A -> Yes
CRITIC_FEEDBACK=Your detailed explanation. If CORRECT, briefly explain why. If INCORRECT, explain what went wrong and suggest the correct approach."

Thus I need to produce a final answer in the required format.

I need to produce a final answer in the required format: "VERDICT: CORRECT" or "INCORRECT" then "REASONING: ..." etc.

I need to produce a final answer in the required format: "VERDICT: CORRECT" or "INCORRECT" then "REASONING: ..." etc.

I need to produce a final answer in the required format: "VERDICT: CORRECT" or "INCORRECT" then "REASONING: ..." etc.

I need to produce a final answer in the required format: "VERDICT: CORRECT" or "INCORRECT" then "REASONING: ..." etc.

I need to produce a final answer in the required format: "VERDICT: CORRECT" or "INCORRECT" then "REASONING: ..." etc.

I need to produce a final answer in the required format: "VERDICT: CORRECT" or "INCORRECT" then "REASONING: ..." etc.

I need to produce a final answer in the required format: "VERDICT: CORRECT" or "INCORRECT" then "REASONING: ..." etc.

I need to produce a final answer in the required format: "VERDICT: CORRECT" or "INCORRECT" then "REASONING: ..." etc.

I need to produce a final answer in the required format: "VERDICT: CORRECT" or "INCORRECT" then "REASONING: ..." etc.

I need to produce a final answer in the required format: "VERDICT: CORRECT" or "INCORRECT" then "REASONING: ..." etc.

I need to produce a final answer in the required format: "VERDICT: CORRECT" or "INCORRECT" then "REASONING: ..." etc.

I need to produce a final answer in the required format: "VERDICT: CORRECT" or "INCORRECT" then "REASONING: ..." etc.

I need to produce a final answer in the required format: "VERDICT: CORRECT" or "INCORRECT" then "REASONING: ..." etc.

I need to produce a final answer in the required format: "VERDICT: CORRECT" or "INCORRECT" then "REASONING: ..." etc.

I need to produce a final answer in the required format: "VERDICT: CORRECT" or "INCORRECT" then "REASONING: ..." etc.

I need to produce a final answer in the required format: "VERDICT: CORRECT" or "INCORRECT" then "REASONING: ..." etc.

I need to produce a final answer in the required format: "VERDICT: CORRECT" or "INCORRECT" then "REASONING: ..." etc.

